x, B @i= 5.47
18.5e-2, 144.0e-3
18.6e-2, 151.0e-3
18.7e-2, 163.0e-3
18.8e-2, 178.0e-3
18.9e-2, 198.0e-3
19.0e-2, 198.0e-3
19.1e-2, 288.0e-3
19.2e-2, 322.0e-3
19.3e-2, 368.0e-3
19.4e-2, 420.0e-3
19.5e-2, 455.0e-3
19.6e-2, 466.0e-3
19.7e-2, 466.0e-3
19.8e-2, 458.0e-3
19.9e-2, 453.0e-3
20.0e-2, 458.0e-3
20.1e-2, 470.0e-3
20.2e-2, 479.0e-3
20.3e-2, 477.0e-3
20.4e-2, 454.0e-3
20.5e-2, 414.0e-3
20.6e-2, 371.0e-3
20.7e-2, 324e-3
20.8e-2, 284e-3
20.9e-2, 259e-3
21.0e-2, 225e-3
21.1e-2, 202e-3
21.2e-2, 184e-3
21.3e-2, 170e-3
21.4e-2, 155e-3
21.5e-2, 143e-3
