# Strom [A] ; Magnetfeld [mT]
# 
0.01;1
0.01;1
0.01;1
0.01;1
0.00;1
1.52;136
1.52;136
2.96;250
2.96;250
3.65;329
3.65;329
4.91;426
4.91;426
5.97;499
5.97;499
7.04;549
7.04;549
7.49;566
7.49;566
8.07;584
8.07;584
8.96;609
8.96;609
8.98;610
8.98;610
8.98;610
8.98;610
8.98;610
0.02;6
0.02;6
0.02;6
0.01;0
-1.86;-166
-1.86;-166
-3.42;-301
-3.42;-301
-3.42;-301
-4.83;-422
-4.83;-422
-6.59;-520
-6.59;-520
-7.74;-565
-7.74;-565
-7.74;-565
-8.81;-594
-8.81;-594
-8.88;-596
-8.88;-596
-8.88;-596
-8.88;-596
-8.87;-595
-8.87;-595
