# Strom: 0.08 A
# Magnetfeld: 7 mT
# Schnitt bei (681,462)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;2186
2;2295
3;2404
4;2236
5;2069
6;1759
7;1450
8;1221
9;992
10;825
11;658
12;607
13;557
14;496
15;435
16;415
17;395
18;374
19;354
20;355
21;356
22;361
23;367
24;357
25;347
26;344
27;342
28;348
29;354
30;369
31;384
32;399
33;415
34;420
35;425
36;466
37;507
38;592
39;677
40;796
41;915
42;1214
43;1514
44;1896
45;2279
46;2411
47;2544
48;2319
49;2095
50;1802
51;1509
52;1277
53;1046
54;868
55;691
56;625
57;560
58;515
59;471
60;442
61;413
62;400
63;387
64;381
65;376
66;368
67;360
68;359
69;358
70;345
71;333
72;327
73;322
74;336
75;351
76;365
77;380
78;386
79;393
80;408
81;424
82;451
83;478
84;545
85;613
86;711
87;810
88;988
89;1166
90;1555
91;1944
92;2225
93;2506
94;2510
95;2515
96;2273
97;2031
98;1694
99;1357
100;1150
101;944
102;801
103;658
104;627
105;597
106;526
107;455
108;449
109;444
110;430
111;416
112;386
113;356
114;355
115;354
116;358
117;362
118;362
119;362
120;346
121;331
122;333
123;336
124;346
125;356
126;357
127;358
128;376
129;395
130;405
131;416
132;446
133;476
134;510
135;544
136;619
137;695
138;826
139;957
140;1231
141;1505
142;1872
143;2240
144;2467
145;2694
146;2636
147;2579
148;2260
149;1942
150;1619
151;1296
152;1116
153;937
154;827
155;717
156;645
157;573
158;534
159;496
160;477
161;458
162;437
163;416
164;395
165;374
166;369
167;365
168;369
169;373
170;358
171;344
172;342
173;340
174;334
175;329
176;324
177;320
178;352
179;384
180;364
181;345
182;359
183;374
184;399
185;424
186;421
187;418
188;441
189;464
190;518
191;573
192;615
193;657
194;771
195;886
196;1081
197;1277
198;1619
199;1962
200;2303
201;2644
202;2770
203;2897
204;2670
205;2444
206;2156
207;1869
208;1597
209;1325
210;1130
211;935
212;830
213;726
214;643
215;560
216;531
217;502
218;481
219;460
220;433
221;407
222;408
223;409
224;381
225;353
226;361
227;369
228;357
229;345
230;339
231;333
232;336
233;340
234;339
235;338
236;338
237;338
238;349
239;360
240;350
241;340
242;356
243;373
244;373
245;374
246;388
247;402
248;409
249;416
250;438
251;460
252;489
253;518
254;537
255;557
256;620
257;684
258;794
259;904
260;1069
261;1234
262;1526
263;1818
264;2188
265;2559
266;2708
267;2857
268;2886
269;2916
270;2608
271;2300
272;2012
273;1725
274;1537
275;1350
276;1148
277;946
278;847
279;748
280;697
281;646
282;595
283;544
284;525
285;506
286;472
287;438
288;427
289;416
290;414
291;413
292;402
293;391
294;370
295;349
296;357
297;365
298;361
299;358
300;361
301;365
302;355
303;345
304;348
305;351
306;351
307;351
308;359
309;367
310;358
311;349
312;369
313;389
314;376
315;364
316;377
317;391
318;380
319;369
320;379
321;389
322;404
323;420
324;436
325;453
326;480
327;507
328;531
329;555
330;607
331;660
332;700
333;740
334;849
335;959
336;1096
337;1234
338;1435
339;1636
340;2003
341;2371
342;2649
343;2927
344;3027
345;3127
346;3038
347;2950
348;2731
349;2512
350;2246
351;1980
352;1757
353;1534
354;1383
355;1232
356;1092
357;952
358;859
359;766
360;716
361;666
362;620
363;575
364;556
365;538
366;504
367;471
368;458
369;445
370;436
371;427
372;421
373;415
374;423
375;431
376;411
377;391
378;376
379;362
380;366
381;371
382;349
383;327
384;344
385;362
386;356
387;351
388;353
389;356
390;355
391;354
392;364
393;374
394;360
395;347
396;362
397;378
398;361
399;345
400;356
401;367
402;367
403;367
404;370
405;374
406;377
407;380
408;379
409;378
410;388
411;398
412;382
413;367
414;394
415;422
416;432
417;442
418;457
419;473
420;478
421;484
422;506
423;529
424;553
425;578
426;602
427;626
428;683
429;740
430;776
431;813
432;888
433;964
434;1058
435;1152
436;1290
437;1428
438;1601
439;1774
440;2011
441;2249
442;2470
443;2692
444;2922
445;3152
446;3211
447;3271
448;3204
449;3138
450;2968
451;2799
452;2630
453;2462
454;2254
455;2046
456;1902
457;1758
458;1638
459;1519
460;1372
461;1226
462;1120
463;1015
464;956
465;897
466;837
467;777
468;738
469;700
470;677
471;655
472;626
473;598
474;587
475;577
476;532
477;487
478;491
479;496
480;487
481;478
482;476
483;475
484;459
485;444
486;429
487;415
488;412
489;409
490;412
491;415
492;416
493;418
494;391
495;365
496;397
497;429
498;397
499;365
500;380
501;396
502;369
503;342
504;369
505;396
506;384
507;373
508;354
509;336
510;358
511;380
512;382
513;384
514;371
515;358
516;369
517;380
518;371
519;362
520;372
521;382
522;362
523;342
524;352
525;362
526;353
527;345
528;369
529;393
530;364
531;336
532;347
533;358
534;361
535;365
536;369
537;374
538;370
539;367
540;376
541;385
542;376
543;367
544;364
545;362
546;361
547;360
548;372
549;385
550;382
551;380
552;374
553;369
554;384
555;400
556;400
557;400
558;392
559;384
560;375
561;367
562;392
563;418
564;422
565;427
566;427
567;427
568;416
569;405
570;412
571;420
572;442
573;464
574;453
575;442
576;453
577;464
578;469
579;475
580;463
581;451
582;478
583;506
584;516
585;526
586;496
587;467
588;501
589;536
590;529
591;522
592;543
593;564
594;558
595;553
596;574
597;595
598;606
599;618
600;641
601;664
602;669
603;675
604;685
605;695
606;703
607;711
608;735
609;760
610;762
611;764
612;790
613;817
614;818
615;820
616;850
617;881
618;890
619;899
620;928
621;957
622;996
623;1035
624;1013
625;992
626;1011
627;1030
628;1085
629;1141
630;1163
631;1186
632;1200
633;1214
634;1261
635;1308
636;1347
637;1387
638;1399
639;1412
640;1429
641;1447
642;1478
643;1509
644;1553
645;1598
646;1609
647;1620
648;1648
649;1676
650;1729
651;1782
652;1821
653;1860
654;1881
655;1902
656;1939
657;1976
658;1980
659;1984
660;2018
661;2053
662;2062
663;2071
664;2076
665;2082
666;2105
667;2129
668;2135
669;2142
670;2151
671;2160
672;2167
673;2175
674;2171
675;2167
676;2203
677;2240
678;2239
679;2238
680;2248
681;2259
682;2247
683;2235
684;2239
685;2244
686;2252
687;2260
688;2259
689;2259
690;2230
691;2202
692;2221
693;2240
694;2254
695;2268
696;2224
697;2180
698;2153
699;2127
700;2127
701;2127
702;2120
703;2113
704;2066
705;2020
706;1978
707;1936
708;1948
709;1960
710;1921
711;1882
712;1852
713;1822
714;1817
715;1813
716;1759
717;1705
718;1695
719;1685
720;1654
721;1623
722;1592
723;1561
724;1525
725;1489
726;1468
727;1448
728;1402
729;1357
730;1353
731;1350
732;1278
733;1206
734;1180
735;1154
736;1155
737;1157
738;1131
739;1106
740;1072
741;1039
742;1031
743;1023
744;998
745;973
746;940
747;908
748;882
749;857
750;861
751;866
752;858
753;850
754;814
755;779
756;777
757;775
758;762
759;749
760;734
761;720
762;701
763;682
764;656
765;631
766;635
767;640
768;642
769;644
770;623
771;602
772;603
773;604
774;585
775;566
776;567
777;569
778;545
779;522
780;517
781;513
782;504
783;495
784;496
785;498
786;487
787;476
788;483
789;491
790;491
791;491
792;468
793;445
794;433
795;422
796;427
797;433
798;442
799;451
800;424
801;398
802;403
803;409
804;407
805;405
806;390
807;376
808;396
809;416
810;409
811;402
812;407
813;413
814;395
815;378
816;361
817;344
818;382
819;420
820;394
821;369
822;382
823;395
824;378
825;362
826;369
827;376
828;362
829;349
830;366
831;384
832;380
833;376
834;380
835;385
836;383
837;382
838;367
839;353
840;360
841;367
842;376
843;385
844;363
845;342
846;350
847;358
848;357
849;356
850;374
851;393
852;377
853;362
854;363
855;365
856;353
857;342
858;354
859;367
860;370
861;374
862;387
863;400
864;384
865;369
866;394
867;420
868;414
869;409
870;401
871;393
872;388
873;384
874;393
875;402
876;412
877;422
878;406
879;391
880;410
881;429
882;448
883;467
884;452
885;438
886;464
887;491
888;499
889;507
890;513
891;520
892;535
893;551
894;586
895;622
896;655
897;689
898;720
899;751
900;791
901;831
902;894
903;957
904;1024
905;1092
906;1194
907;1297
908;1413
909;1530
910;1644
911;1758
912;1933
913;2109
914;2250
915;2391
916;2581
917;2772
918;2925
919;3079
920;3094
921;3109
922;3054
923;2999
924;2840
925;2681
926;2413
927;2146
928;1931
929;1716
930;1569
931;1423
932;1258
933;1094
934;1029
935;964
936;899
937;835
938;752
939;669
940;643
941;618
942;598
943;578
944;573
945;569
946;533
947;498
948;483
949;469
950;460
951;451
952;452
953;453
954;431
955;409
956;428
957;447
958;434
959;422
960;416
961;411
962;399
963;387
964;384
965;382
966;371
967;360
968;372
969;385
970;389
971;393
972;386
973;380
974;381
975;382
976;378
977;374
978;370
979;367
980;372
981;378
982;372
983;367
984;382
985;398
986;396
987;395
988;410
989;425
990;410
991;395
992;415
993;435
994;441
995;447
996;453
997;460
998;451
999;442
1000;476
1001;511
1002;520
1003;529
1004;567
1005;606
1006;642
1007;678
1008;737
1009;797
1010;864
1011;932
1012;1078
1013;1225
1014;1355
1015;1485
1016;1736
1017;1987
1018;2193
1019;2399
1020;2653
1021;2908
1022;2981
1023;3054
1024;2955
1025;2856
1026;2567
1027;2279
1028;1983
1029;1687
1030;1473
1031;1259
1032;1120
1033;982
1034;878
1035;775
1036;710
1037;646
1038;617
1039;589
1040;551
1041;513
1042;503
1043;493
1044;474
1045;456
1046;431
1047;407
1048;414
1049;422
1050;420
1051;418
1052;405
1053;393
1054;387
1055;382
1056;381
1057;380
1058;382
1059;384
1060;376
1061;369
1062;373
1063;378
1064;387
1065;396
1066;390
1067;384
1068;386
1069;389
1070;378
1071;367
1072;372
1073;378
1074;387
1075;396
1076;421
1077;447
1078;445
1079;444
1080;454
1081;464
1082;491
1083;518
1084;533
1085;549
1086;599
1087;649
1088;701
1089;753
1090;827
1091;901
1092;1039
1093;1177
1094;1387
1095;1598
1096;1869
1097;2140
1098;2437
1099;2735
1100;2838
1101;2941
1102;2771
1103;2601
1104;2250
1105;1900
1106;1631
1107;1363
1108;1150
1109;937
1110;839
1111;742
1112;699
1113;657
1114;586
1115;515
1116;499
1117;484
1118;463
1119;442
1120;446
1121;451
1122;417
1123;384
1124;379
1125;374
1126;381
1127;389
1128;394
1129;400
1130;381
1131;362
1132;360
1133;358
1134;365
1135;373
1136;380
1137;387
1138;369
1139;351
1140;372
1141;393
1142;393
1143;393
1144;410
1145;427
1146;431
1147;436
1148;434
1149;433
1150;464
1151;495
1152;540
1153;586
1154;602
1155;618
1156;727
1157;837
1158;983
1159;1130
1160;1347
1161;1565
1162;1866
1163;2167
1164;2455
1165;2743
1166;2736
1167;2730
1168;2458
1169;2186
1170;1862
1171;1538
1172;1244
1173;950
1174;859
1175;768
1176;685
1177;602
1178;576
1179;551
1180;519
1181;487
1182;475
1183;464
1184;436
1185;409
1186;402
1187;395
1188;395
1189;396
1190;397
1191;398
1192;381
1193;364
1194;366
1195;369
1196;374
1197;380
1198;383
1199;387
1200;391
1201;396
1202;398
1203;400
1204;402
1205;404
1206;431
1207;458
1208;470
1209;482
1210;488
1211;495
1212;553
1213;611
1214;685
1215;759
1216;892
1217;1026
1218;1274
1219;1523
1220;1874
1221;2226
1222;2459
1223;2692
1224;2607
1225;2522
1226;2193
1227;1865
1228;1514
1229;1163
1230;987
1231;811
1232;741
1233;671
1234;598
1235;526
1236;518
1237;511
1238;473
1239;436
1240;412
1241;389
1242;392
1243;396
1244;384
1245;373
1246;377
1247;382
1248;379
1249;376
1250;384
1251;393
1252;394
1253;395
1254;392
1255;389
1256;391
1257;393
1258;404
1259;415
1260;430
1261;445
1262;474
1263;504
1264;527
1265;551
1266;633
1267;715
1268;847
1269;979
1270;1223
1271;1467
1272;1826
1273;2186
1274;2421
1275;2657
1276;2511
1277;2366
1278;2022
1279;1678
1280;1371
1281;1064
1282;887
1283;711
1284;629
1285;547
1286;515
1287;484
1288;468
1289;453
1290;431
1291;409
1292;400
1293;391
1294;386
1295;382
1296;392
1297;402
1298;398
1299;395
1300;380
1301;365
1302;392
1303;420
1304;404
1305;389
1306;387
1307;385
1308;396
1309;407
1310;443
1311;480
1312;521
1313;562
1314;625
1315;688
1316;826
1317;964
1318;1287
1319;1610
1320;1948
1321;2286
1322;2469
1323;2652
1324;2379
