# Strom: -3.02 A
# Magnetfeld: -272 mT
# Schnitt bei (681,462)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;3336
2;3284
3;3232
4;3055
5;2879
6;2827
7;2775
8;2553
9;2331
10;2058
11;1785
12;1506
13;1228
14;1111
15;995
16;880
17;766
18;745
19;724
20;727
21;731
22;704
23;678
24;667
25;657
26;671
27;686
28;737
29;788
30;824
31;861
32;922
33;984
34;1199
35;1414
36;1659
37;1904
38;2082
39;2260
40;2389
41;2519
42;2728
43;2937
44;3174
45;3411
46;3316
47;3221
48;3000
49;2779
50;2712
51;2646
52;2608
53;2570
54;2267
55;1964
56;1660
57;1356
58;1171
59;986
60;920
61;855
62;820
63;786
64;753
65;720
66;688
67;657
68;665
69;673
70;663
71;653
72;678
73;704
74;711
75;719
76;754
77;790
78;877
79;964
80;1127
81;1290
82;1531
83;1772
84;1976
85;2180
86;2281
87;2382
88;2511
89;2641
90;2919
91;3198
92;3330
93;3462
94;3280
95;3098
96;2947
97;2797
98;2744
99;2692
100;2620
101;2548
102;2286
103;2024
104;1721
105;1419
106;1245
107;1072
108;974
109;877
110;831
111;786
112;770
113;755
114;714
115;673
116;660
117;648
118;661
119;675
120;676
121;677
122;677
123;677
124;702
125;728
126;753
127;779
128;851
129;924
130;1081
131;1239
132;1432
133;1625
134;1876
135;2127
136;2239
137;2351
138;2367
139;2384
140;2602
141;2821
142;3105
143;3389
144;3462
145;3535
146;3376
147;3218
148;2996
149;2774
150;2772
151;2770
152;2747
153;2725
154;2475
155;2226
156;1932
157;1638
158;1412
159;1186
160;1084
161;982
162;912
163;842
164;805
165;769
166;754
167;739
168;712
169;686
170;686
171;686
172;673
173;660
174;664
175;668
176;670
177;673
178;714
179;755
180;788
181;822
182;826
183;831
184;917
185;1004
186;1131
187;1259
188;1486
189;1714
190;1920
191;2126
192;2225
193;2324
194;2361
195;2399
196;2566
197;2734
198;2909
199;3085
200;3391
201;3698
202;3631
203;3564
204;3316
205;3069
206;2928
207;2788
208;2768
209;2748
210;2771
211;2794
212;2589
213;2384
214;2127
215;1871
216;1602
217;1334
218;1219
219;1104
220;1028
221;952
222;903
223;855
224;812
225;769
226;745
227;722
228;697
229;673
230;667
231;662
232;659
233;657
234;680
235;704
236;713
237;722
238;689
239;657
240;699
241;742
242;752
243;762
244;804
245;846
246;909
247;972
248;1044
249;1117
250;1296
251;1476
252;1715
253;1955
254;2127
255;2300
256;2374
257;2448
258;2444
259;2441
260;2532
261;2624
262;2851
263;3079
264;3316
265;3553
266;3662
267;3771
268;3592
269;3413
270;3224
271;3036
272;2893
273;2750
274;2777
275;2805
276;2828
277;2852
278;2758
279;2664
280;2419
281;2175
282;1949
283;1723
284;1496
285;1270
286;1181
287;1092
288;1021
289;950
290;900
291;851
292;842
293;833
294;790
295;748
296;736
297;724
298;703
299;682
300;679
301;677
302;683
303;689
304;673
305;657
306;674
307;691
308;684
309;677
310;693
311;709
312;704
313;700
314;728
315;757
316;791
317;826
318;871
319;917
320;957
321;997
322;1101
323;1206
324;1312
325;1418
326;1592
327;1767
328;2001
329;2235
330;2342
331;2450
332;2452
333;2455
334;2467
335;2479
336;2559
337;2639
338;2803
339;2967
340;3163
341;3360
342;3574
343;3789
344;3803
345;3817
346;3695
347;3573
348;3397
349;3221
350;3015
351;2810
352;2794
353;2779
354;2833
355;2888
356;2942
357;2996
358;2898
359;2801
360;2634
361;2468
362;2217
363;1967
364;1785
365;1603
366;1458
367;1314
368;1219
369;1124
370;1062
371;1001
372;955
373;910
374;881
375;853
376;837
377;822
378;801
379;780
380;762
381;744
382;737
383;731
384;694
385;658
386;663
387;669
388;682
389;695
390;676
391;658
392;673
393;688
394;694
395;700
396;689
397;678
398;705
399;733
400;726
401;720
402;734
403;748
404;759
405;771
406;771
407;771
408;806
409;842
410;866
411;891
412;920
413;950
414;1020
415;1090
416;1156
417;1223
418;1325
419;1428
420;1544
421;1660
422;1850
423;2040
424;2156
425;2273
426;2372
427;2471
428;2447
429;2424
430;2419
431;2415
432;2470
433;2526
434;2572
435;2619
436;2726
437;2834
438;2917
439;3001
440;3157
441;3314
442;3519
443;3724
444;3828
445;3933
446;3958
447;3984
448;3900
449;3817
450;3654
451;3491
452;3418
453;3345
454;3187
455;3029
456;2929
457;2830
458;2817
459;2805
460;2862
461;2919
462;2927
463;2936
464;2915
465;2894
466;2877
467;2861
468;2809
469;2757
470;2590
471;2424
472;2225
473;2027
474;1917
475;1807
476;1669
477;1532
478;1474
479;1416
480;1344
481;1272
482;1215
483;1159
484;1094
485;1030
486;1000
487;970
488;979
489;988
490;924
491;861
492;858
493;855
494;837
495;820
496;817
497;815
498;787
499;759
500;761
501;764
502;754
503;744
504;731
505;719
506;717
507;715
508;716
509;717
510;718
511;720
512;708
513;697
514;698
515;700
516;692
517;684
518;708
519;733
520;730
521;728
522;695
523;662
524;665
525;669
526;692
527;715
528;685
529;655
530;680
531;706
532;711
533;717
534;726
535;735
536;738
537;742
538;735
539;728
540;745
541;762
542;744
543;726
544;753
545;780
546;763
547;746
548;747
549;748
550;789
551;830
552;825
553;820
554;835
555;850
556;857
557;864
558;895
559;926
560;937
561;948
562;941
563;935
564;976
565;1017
566;1050
567;1084
568;1089
569;1095
570;1108
571;1121
572;1163
573;1206
574;1259
575;1312
576;1360
577;1408
578;1479
579;1550
580;1579
581;1609
582;1675
583;1742
584;1802
585;1862
586;1912
587;1962
588;2037
589;2113
590;2197
591;2282
592;2292
593;2302
594;2306
595;2311
596;2386
597;2462
598;2522
599;2583
600;2552
601;2521
602;2531
603;2542
604;2549
605;2557
606;2544
607;2532
608;2536
609;2541
610;2586
611;2632
612;2626
613;2621
614;2575
615;2530
616;2543
617;2557
618;2576
619;2595
620;2612
621;2630
622;2641
623;2652
624;2641
625;2630
626;2624
627;2619
628;2639
629;2659
630;2692
631;2726
632;2725
633;2725
634;2734
635;2743
636;2729
637;2715
638;2796
639;2877
640;2850
641;2823
642;2840
643;2857
644;2881
645;2905
646;2925
647;2945
648;2982
649;3019
650;3011
651;3003
652;3018
653;3034
654;3084
655;3134
656;3139
657;3145
658;3157
659;3170
660;3223
661;3276
662;3248
663;3220
664;3193
665;3167
666;3213
667;3260
668;3258
669;3256
670;3293
671;3331
672;3377
673;3424
674;3404
675;3385
676;3394
677;3403
678;3346
679;3289
680;3369
681;3449
682;3398
683;3347
684;3355
685;3363
686;3387
687;3411
688;3437
689;3464
690;3387
691;3311
692;3314
693;3318
694;3320
695;3322
696;3327
697;3332
698;3303
699;3274
700;3296
701;3318
702;3273
703;3229
704;3203
705;3178
706;3179
707;3180
708;3204
709;3229
710;3166
711;3103
712;3108
713;3114
714;3080
715;3047
716;3003
717;2959
718;2931
719;2903
720;2923
721;2943
722;2955
723;2967
724;2924
725;2881
726;2875
727;2870
728;2826
729;2783
730;2771
731;2759
