# Strom: 0.07 A
# Magnetfeld: 7 mT
# Schnitt bei (500,400)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;655
2;721
3;788
4;936
5;1084
6;1346
7;1609
8;1987
9;2366
10;2586
11;2806
12;2791
13;2777
14;2465
15;2153
16;1917
17;1681
18;1515
19;1350
20;1222
21;1095
22;974
23;853
24;772
25;691
26;638
27;586
28;558
29;531
30;517
31;504
32;464
33;425
34;420
35;416
36;399
37;382
38;377
39;373
40;368
41;364
42;372
43;380
44;382
45;385
46;377
47;369
48;373
49;378
50;358
51;338
52;365
53;393
54;380
55;367
56;370
57;373
58;391
59;409
60;402
61;395
62;427
63;460
64;473
65;487
66;498
67;509
68;548
69;587
70;629
71;671
72;738
73;806
74;895
75;984
76;1195
77;1407
78;1756
79;2106
80;2400
81;2695
82;2854
83;3014
84;2863
85;2712
86;2543
87;2375
88;2114
89;1853
90;1669
91;1485
92;1359
93;1234
94;1105
95;977
96;895
97;813
98;724
99;635
100;590
101;546
102;548
103;551
104;495
105;440
106;441
107;442
108;423
109;404
110;415
111;427
112;399
113;371
114;369
115;367
116;374
117;382
118;368
119;354
120;360
121;367
122;368
123;369
124;349
125;329
126;331
127;334
128;330
129;327
130;352
131;378
132;386
133;395
134;381
135;367
136;388
137;409
138;398
139;387
140;385
141;384
142;381
143;378
144;394
145;411
146;429
147;447
148;464
149;482
150;498
151;515
152;519
153;524
154;543
155;562
156;605
157;649
158;725
159;802
160;854
161;906
162;1038
163;1170
164;1364
165;1558
166;1825
167;2093
168;2322
169;2552
170;2758
171;2965
172;3006
173;3047
174;2905
175;2763
176;2610
177;2457
178;2236
179;2016
180;1872
181;1729
182;1584
183;1439
184;1322
185;1205
186;1126
187;1048
188;954
189;861
190;791
191;722
192;684
193;646
194;602
195;558
196;537
197;516
198;519
199;522
200;493
201;464
202;464
203;464
204;444
205;425
206;410
207;396
208;390
209;385
210;379
211;374
212;383
213;393
214;383
215;374
216;377
217;380
218;371
219;362
220;359
221;356
222;365
223;374
224;366
225;358
226;355
227;353
228;337
229;322
230;338
231;354
232;355
233;356
234;359
235;362
236;370
237;378
238;354
239;331
240;356
241;382
242;370
243;358
244;359
245;360
246;373
247;387
248;382
249;378
250;381
251;385
252;380
253;376
254;384
255;393
256;413
257;433
258;421
259;409
260;415
261;422
262;432
263;442
264;433
265;425
266;437
267;449
268;469
269;489
270;511
271;533
272;539
273;546
274;542
275;538
276;565
277;593
278;631
279;669
280;681
281;693
282;718
283;744
284;789
285;835
286;882
287;930
288;1013
289;1097
290;1143
291;1190
292;1316
293;1443
294;1565
295;1687
296;1835
297;1984
298;2142
299;2300
300;2436
301;2573
302;2733
303;2894
304;2938
305;2983
306;3009
307;3036
308;3026
309;3016
310;2966
311;2916
312;2793
313;2670
314;2565
315;2461
316;2402
317;2344
318;2256
319;2169
320;2085
321;2002
322;1902
323;1802
324;1721
325;1640
326;1591
327;1543
328;1468
329;1394
330;1298
331;1203
332;1150
333;1097
334;1059
335;1021
336;988
337;955
338;902
339;850
340;820
341;790
342;765
343;740
344;712
345;684
346;669
347;655
348;654
349;653
350;635
351;618
352;613
353;609
354;563
355;518
356;532
357;546
358;534
359;522
360;527
361;533
362;530
363;527
364;517
365;507
366;501
367;496
368;480
369;464
370;453
371;442
