Datei ID&Ordnung&$\mu / \unit{\meter}$&$\sigma$&$A$&$I / \unit{\ampere}$&$B / \unit{	esla}\\
\hline05 X&7&-0.0062454(10)&3.47(19)e-05&1745(76)&-5.23&-0.4375(17)\\
05 X&7&-0.00613579(49)&3.402(68)e-05&2729(77)&-5.23&-0.4375(17)\\
05 X&7&-0.00602585(70)&3.15(14)e-05&2002(74)&-5.23&-0.4375(17)\\
05 X&6&-0.0057973(12)&4.04(24)e-05&1735(90)&-5.23&-0.4375(17)\\
05 X&6&-0.00568041(59)&3.553(70)e-05&2809(88)&-5.23&-0.4375(17)\\
05 X&6&-0.00556001(69)&3.42(16)e-05&2072(88)&-5.23&-0.4375(17)\\
05 X&5&-0.0053178(16)&4.28(37)e-05&1.80(18)e+03&-5.23&-0.4375(17)\\
05 X&5&-0.00518465(83)&4.13(11)e-05&2.82(18)e+03&-5.23&-0.4375(17)\\
05 X&5&-0.0050508(11)&3.85(27)e-05&2.13(18)e+03&-5.23&-0.4375(17)\\
05 X&4&-0.0047771(16)&4.64(30)e-05&1874(96)&-5.23&-0.4375(17)\\
05 X&4&-0.00463500(74)&3.948(89)e-05&3026(97)&-5.23&-0.4375(17)\\
05 X&4&-0.0044882(11)&4.14(22)e-05&2164(94)&-5.23&-0.4375(17)\\
05 X&3&-0.0041747(15)&4.90(24)e-05&1927(68)&-5.23&-0.4375(17)\\
05 X&3&-0.00400871(75)&4.660(94)e-05&3053(71)&-5.23&-0.4375(17)\\
05 X&3&-0.0038364(11)&4.70(19)e-05&2231(67)&-5.23&-0.4375(17)\\
05 X&2&-0.0034646(22)&5.80(32)e-05&1886(69)&-5.23&-0.4375(17)\\
05 X&2&-0.00326037(98)&5.81(12)e-05&3166(73)&-5.23&-0.4375(17)\\
05 X&2&-0.0030473(14)&5.31(22)e-05&2297(68)&-5.23&-0.4375(17)\\
05 X&1&-0.0025606(24)&7.65(35)e-05&1975(63)&-5.23&-0.4375(17)\\
05 X&1&-0.0022784(12)&8.19(15)e-05&3237(66)&-5.23&-0.4375(17)\\
05 X&1&-0.0019576(18)&8.65(31)e-05&2351(61)&-5.23&-0.4375(17)\\
05 X&1&0.0019282(14)&8.77(22)e-05&2372(39)&-5.23&-0.4375(17)\\
05 X&1&0.00224678(91)&8.22(11)e-05&3231(43)&-5.23&-0.4375(17)\\
05 X&1&0.0025337(18)&8.00(25)e-05&2027(41)&-5.23&-0.4375(17)\\
05 X&2&0.0030195(11)&5.63(19)e-05&2320(56)&-5.23&-0.4375(17)\\
05 X&2&0.00323292(84)&5.94(10)e-05&3163(60)&-5.23&-0.4375(17)\\
05 X&2&0.0034355(17)&6.08(26)e-05&1961(57)&-5.23&-0.4375(17)\\
05 X&3&0.00380986(89)&4.47(14)e-05&2282(48)&-5.23&-0.4375(17)\\
05 X&3&0.00397994(67)&4.879(85)e-05&3051(51)&-5.23&-0.4375(17)\\
05 X&3&0.0041468(13)&4.95(20)e-05&1942(48)&-5.23&-0.4375(17)\\
05 X&4&0.0044597(10)&4.10(19)e-05&2180(79)&-5.23&-0.4375(17)\\
05 X&4&0.00460649(80)&4.42(10)e-05&2917(82)&-5.23&-0.4375(17)\\
05 X&4&0.0047520(16)&4.69(27)e-05&1876(79)&-5.23&-0.4375(17)\\
05 X&5&0.00502590(78)&3.68(14)e-05&2108(59)&-5.23&-0.4375(17)\\
05 X&5&0.00515718(56)&4.056(77)e-05&2824(62)&-5.23&-0.4375(17)\\
05 X&5&0.0052906(11)&4.08(19)e-05&1849(59)&-5.23&-0.4375(17)\\
05 X&6&0.00553428(87)&3.54(15)e-05&2057(60)&-5.23&-0.4375(17)\\
05 X&6&0.00565285(62)&3.645(86)e-05&2784(61)&-5.23&-0.4375(17)\\
05 X&6&0.0057728(13)&4.01(21)e-05&1806(60)&-5.23&-0.4375(17)\\
05 Y&2&-0.0034525(18)&6.33(40)e-05&1.97(13)e+03&-5.23&-0.4375(17)\\
05 Y&2&-0.00324707(90)&5.93(12)e-05&3.13(13)e+03&-5.23&-0.4375(17)\\
05 Y&2&-0.0030306(14)&6.52(35)e-05&2.25(13)e+03&-5.23&-0.4375(17)\\
05 Y&1&-0.0025476(18)&7.87(30)e-05&2053(66)&-5.23&-0.4375(17)\\
05 Y&1&-0.00226131(95)&8.36(12)e-05&3215(69)&-5.23&-0.4375(17)\\
05 Y&1&-0.0019389(15)&9.18(30)e-05&2347(65)&-5.23&-0.4375(17)\\
05 Y&1&0.0019389(16)&8.98(29)e-05&2292(55)&-5.23&-0.4375(17)\\
05 Y&1&0.0022571(10)&8.76(13)e-05&3162(59)&-5.23&-0.4375(17)\\
05 Y&1&0.0025450(20)&7.69(30)e-05&1942(57)&-5.23&-0.4375(17)\\
05 Y&2&0.0030314(14)&8.26(35)e-05&2096(84)&-5.23&-0.4375(17)\\
05 Y&2&0.00324748(89)&6.16(10)e-05&2841(78)&-5.23&-0.4375(17)\\
05 Y&2&0.0034482(12)&6.12(28)e-05&1859(84)&-5.23&-0.4375(17)\\
10 X&7&-0.00624224(92)&3.43(18)e-05&2073(88)&-5.19&-0.4349(17)\\
10 X&7&-0.00613033(74)&3.69(11)e-05&2339(90)&-5.19&-0.4349(17)\\
10 X&7&-0.00601879(69)&3.20(14)e-05&2325(87)&-5.19&-0.4349(17)\\
10 X&6&-0.00579581(96)&3.53(14)e-05&2102(56)&-5.19&-0.4349(17)\\
10 X&6&-0.00567715(75)&3.63(10)e-05&2422(58)&-5.19&-0.4349(17)\\
10 X&6&-0.00555733(65)&3.16(11)e-05&2418(54)&-5.19&-0.4349(17)\\
10 X&5&-0.00531353(88)&3.69(13)e-05&2092(49)&-5.19&-0.4349(17)\\
10 X&5&-0.00518144(68)&4.229(94)e-05&2469(52)&-5.19&-0.4349(17)\\
10 X&5&-0.00504923(54)&3.202(85)e-05&2557(48)&-5.19&-0.4349(17)\\
10 X&4&-0.0047794(11)&4.09(18)e-05&2157(68)&-5.19&-0.4349(17)\\
10 X&4&-0.00463179(89)&4.58(12)e-05&2499(72)&-5.19&-0.4349(17)\\
10 X&4&-0.00448212(77)&3.87(13)e-05&2558(67)&-5.19&-0.4349(17)\\
10 X&3&-0.0041731(12)&4.45(18)e-05&2248(61)&-5.19&-0.4349(17)\\
10 X&3&-0.00400680(97)&4.97(13)e-05&2626(64)&-5.19&-0.4349(17)\\
10 X&3&-0.00383206(86)&4.24(14)e-05&2622(60)&-5.19&-0.4349(17)\\
10 X&2&-0.0034666(14)&5.43(21)e-05&2275(63)&-5.19&-0.4349(17)\\
10 X&2&-0.0032601(12)&6.16(15)e-05&2637(67)&-5.19&-0.4349(17)\\
10 X&2&-0.0030435(10)&5.35(17)e-05&2654(62)&-5.19&-0.4349(17)\\
10 X&1&-0.0025634(20)&7.22(28)e-05&2298(60)&-5.19&-0.4349(17)\\
10 X&1&-0.0022793(16)&8.42(20)e-05&2722(62)&-5.19&-0.4349(17)\\
10 X&1&-0.0019520(14)&7.94(24)e-05&2771(58)&-5.19&-0.4349(17)\\
10 X&1&0.0019356(13)&8.20(20)e-05&2744(43)&-5.19&-0.4349(17)\\
10 X&1&0.0022602(14)&8.64(18)e-05&2699(46)&-5.19&-0.4349(17)\\
10 X&1&0.0025473(18)&7.61(24)e-05&2312(44)&-5.19&-0.4349(17)\\
10 X&2&0.0030254(10)&5.20(16)e-05&2718(57)&-5.19&-0.4349(17)\\
10 X&2&0.0032436(12)&6.29(16)e-05&2617(61)&-5.19&-0.4349(17)\\
10 X&2&0.0034495(15)&5.40(21)e-05&2298(57)&-5.19&-0.4349(17)\\
10 X&3&0.00381536(84)&4.50(13)e-05&2603(50)&-5.19&-0.4349(17)\\
10 X&3&0.0039885(10)&5.11(13)e-05&2560(54)&-5.19&-0.4349(17)\\
10 X&3&0.0041569(13)&5.05(19)e-05&2228(51)&-5.19&-0.4349(17)\\
10 X&4&0.00446795(66)&3.69(10)e-05&2554(47)&-5.19&-0.4349(17)\\
10 X&4&0.00461633(80)&4.59(11)e-05&2519(51)&-5.19&-0.4349(17)\\
10 X&4&0.0047640(10)&4.17(15)e-05&2192(48)&-5.19&-0.4349(17)\\
10 X&5&0.00503260(75)&3.61(12)e-05&2421(60)&-5.19&-0.4349(17)\\
10 X&5&0.00516669(86)&4.45(13)e-05&2380(64)&-5.19&-0.4349(17)\\
10 X&5&0.0052992(10)&3.80(16)e-05&2109(61)&-5.19&-0.4349(17)\\
10 X&6&0.00554007(54)&3.121(80)e-05&2375(36)&-5.19&-0.4349(17)\\
10 X&6&0.00566196(69)&4.13(10)e-05&2374(39)&-5.19&-0.4349(17)\\
10 X&6&0.00578278(88)&3.61(12)e-05&2063(37)&-5.19&-0.4349(17)\\
10 Y&2&-0.0034650(12)&5.66(20)e-05&2298(67)&-5.19&-0.4349(17)\\
10 Y&2&-0.00325844(96)&6.35(13)e-05&2677(71)&-5.19&-0.4349(17)\\
10 Y&2&-0.00303788(90)&5.79(17)e-05&2650(66)&-5.19&-0.4349(17)\\
10 Y&1&-0.0025612(16)&7.35(24)e-05&2308(56)&-5.19&-0.4349(17)\\
10 Y&1&-0.0022746(13)&8.65(17)e-05&2708(59)&-5.19&-0.4349(17)\\
10 Y&1&-0.0019466(12)&8.52(22)e-05&2755(54)&-5.19&-0.4349(17)\\
