p	I1 / %
0	3,0
1	3,0
2	3,0
3	3,0
4	2,9
5	2,9
6	3,0
7	2,9
8	2,9
9	2,9
10	2,9
11	2,9
12	2,9
13	2,9
14	2,9
15	2,9
16	2,9
17	2,9
18	2,9
19	2,9
20	2,9
21	2,9
22	2,9
23	2,9
24	2,9
25	2,9
26	2,9
27	2,9
28	2,9
29	2,9
30	2,9
31	2,9
32	2,9
33	2,9
34	2,9
35	2,9
36	2,9
37	2,9
38	2,9
39	2,9
40	2,9
41	3,0
42	2,9
43	2,9
44	2,9
45	3,0
46	3,0
47	3,0
48	3,0
49	3,0
50	3,0
51	3,0
52	3,0
53	3,0
54	3,0
55	3,0
56	3,0
57	3,0
58	3,0
59	3,0
60	3,0
61	3,0
62	3,0
63	3,0
64	3,0
65	3,0
66	3,0
67	3,0
68	3,0
69	3,0
70	3,0
71	3,0
72	3,0
73	3,0
74	3,0
75	3,0
76	3,0
77	3,0
78	3,0
79	3,0
80	3,0
81	3,0
82	3,0
83	3,0
84	3,0
85	3,0
86	3,0
87	3,0
88	3,0
89	3,0
90	3,0
91	3,0
92	3,0
93	3,0
94	3,0
95	3,0
96	3,0
97	3,0
98	3,0
99	3,0
100	3,0
101	3,0
102	3,0
103	3,0
104	3,0
105	3,0
106	3,0
107	3,0
108	3,0
109	3,0
110	3,0
111	3,0
112	3,0
113	3,0
114	3,0
115	3,0
116	3,0
117	3,0
118	3,0
119	3,0
120	3,0
121	3,0
122	3,0
123	3,0
124	3,0
125	3,0
126	3,0
127	3,0
128	3,0
129	3,0
130	3,0
131	3,0
132	3,0
133	3,0
134	3,0
135	3,0
136	3,0
137	3,0
138	3,0
139	3,0
140	3,0
141	3,0
142	3,0
143	3,0
144	3,0
145	3,0
146	3,0
147	3,0
148	3,0
149	3,0
150	3,0
151	3,1
152	3,1
153	3,1
154	3,1
155	3,1
156	3,1
157	3,1
158	3,1
159	3,1
160	3,1
161	3,1
162	3,1
163	3,1
164	3,1
165	3,1
166	3,1
167	3,1
168	3,1
169	3,1
170	3,1
171	3,1
172	3,1
173	3,1
174	3,1
175	3,1
176	3,1
177	3,1
178	3,1
179	3,1
180	3,2
181	3,2
182	3,2
183	3,2
184	3,2
185	3,2
186	3,2
187	3,2
188	3,2
189	3,2
190	3,2
191	3,2
192	3,2
193	3,2
194	3,2
195	3,2
196	3,2
197	3,2
198	3,2
199	3,2
200	3,2
201	3,2
202	3,2
203	3,2
204	3,2
205	3,2
206	3,2
207	3,2
208	3,2
209	3,2
210	3,2
211	3,2
212	3,2
213	3,2
214	3,2
215	3,2
216	3,2
217	3,2
218	3,2
219	3,3
220	3,2
221	3,3
222	3,3
223	3,3
224	3,3
225	3,3
226	3,3
227	3,2
228	3,3
229	3,3
230	3,3
231	3,3
232	3,3
233	3,3
234	3,3
235	3,3
236	3,3
237	3,3
238	3,3
239	3,3
240	3,3
241	3,3
242	3,3
243	3,3
244	3,3
245	3,3
246	3,3
247	3,3
248	3,3
249	3,3
250	3,3
251	3,3
252	3,3
253	3,3
254	3,3
255	3,3
256	3,3
257	3,3
258	3,3
259	3,3
260	3,3
261	3,3
262	3,3
263	3,3
264	3,3
265	3,3
266	3,3
267	3,3
268	3,3
269	3,3
270	3,3
271	3,3
272	3,3
273	3,3
274	3,3
275	3,3
276	3,3
277	3,3
278	3,3
279	3,3
280	3,3
281	3,3
282	3,3
283	3,3
284	3,3
285	3,3
286	3,3
287	3,3
288	3,3
289	3,3
290	3,3
291	3,3
292	3,3
293	3,3
294	3,3
295	3,3
296	3,3
297	3,3
298	3,3
299	3,3
300	3,3
301	3,3
302	3,3
303	3,3
304	3,3
305	3,3
306	3,3
307	3,3
308	3,3
309	3,3
310	3,3
311	3,3
312	3,3
313	3,3
314	3,3
315	3,3
316	3,3
317	3,3
318	3,3
319	3,3
320	3,3
321	3,3
322	3,3
323	3,3
324	3,3
325	3,3
326	3,3
327	3,3
328	3,3
329	3,3
330	3,3
331	3,3
332	3,3
333	3,3
334	3,3
335	3,3
336	3,3
337	3,3
338	3,3
339	3,3
340	3,3
341	3,3
342	3,3
343	3,3
344	3,3
345	3,3
346	3,3
347	3,3
348	3,3
349	3,3
350	3,3
351	3,3
352	3,3
353	3,3
354	3,3
355	3,3
356	3,3
357	3,3
358	3,3
359	3,3
360	3,3
361	3,3
362	3,3
363	3,3
364	3,3
365	3,3
366	3,3
367	3,3
368	3,3
369	3,3
370	3,3
371	3,3
372	3,3
373	3,3
374	3,3
375	3,3
376	3,3
377	3,3
378	3,3
379	3,3
380	3,3
381	3,3
382	3,3
383	3,3
384	3,3
385	3,3
386	3,3
387	3,3
388	3,3
389	3,3
390	3,3
391	3,3
392	3,3
393	3,3
394	3,3
395	3,3
396	3,3
397	3,3
398	3,3
399	3,3
400	3,3
401	3,3
402	3,3
403	3,3
404	3,3
405	3,3
406	3,3
407	3,3
408	3,3
409	3,3
410	3,3
411	3,4
412	3,4
413	3,4
414	3,4
415	3,4
416	3,4
417	3,4
418	3,4
419	3,4
420	3,4
421	3,4
422	3,4
423	3,4
424	3,4
425	3,4
426	3,4
427	3,4
428	3,4
429	3,4
430	3,4
431	3,4
432	3,4
433	3,4
434	3,4
435	3,4
436	3,4
437	3,4
438	3,4
439	3,4
440	3,4
441	3,4
442	3,4
443	3,4
444	3,4
445	3,4
446	3,4
447	3,4
448	3,4
449	3,4
450	3,4
451	3,4
452	3,4
453	3,4
454	3,4
455	3,4
456	3,4
457	3,4
458	3,4
459	3,4
460	3,4
461	3,4
462	3,4
463	3,4
464	3,4
465	3,4
466	3,4
467	3,4
468	3,4
469	3,4
470	3,4
471	3,4
472	3,4
473	3,4
474	3,4
475	3,4
476	3,4
477	3,4
478	3,4
479	3,4
480	3,4
481	3,4
482	3,4
483	3,4
484	3,4
485	3,4
486	3,4
487	3,4
488	3,4
489	3,4
490	3,4
491	3,4
492	3,4
493	3,4
494	3,4
495	3,4
496	3,4
497	3,4
498	3,4
499	3,4
500	3,4
501	3,4
502	3,4
503	3,4
504	3,4
505	3,4
506	3,4
507	3,4
508	3,4
509	3,4
510	3,4
511	3,4
512	3,6
513	3,6
514	3,6
515	3,6
516	3,6
517	3,6
518	3,6
519	3,6
520	3,6
521	3,6
522	3,5
523	3,5
524	3,5
525	3,6
526	3,5
527	3,5
528	3,5
529	3,5
530	3,5
531	3,5
532	3,5
533	3,5
534	3,5
535	3,5
536	3,5
537	3,5
538	3,5
539	3,5
540	3,5
541	3,5
542	3,5
543	3,5
544	3,5
545	3,5
546	3,5
547	3,5
548	3,5
549	3,5
550	3,5
551	3,5
