p	I1 / %
0	2,6
1	2,1
2	1,8
3	1,6
4	1,5
5	1,5
6	1,5
7	1,4
8	1,4
9	1,4
10	1,4
11	1,4
12	1,4
13	1,4
14	1,3
15	1,3
16	1,4
17	1,4
18	1,4
19	1,3
20	1,3
21	1,3
22	1,3
23	1,4
24	1,4
25	1,4
26	1,3
27	1,4
28	1,3
29	1,3
30	1,4
31	1,4
32	1,4
33	1,3
34	1,3
35	1,3
36	1,3
37	1,4
38	1,4
39	1,4
40	1,4
41	1,4
42	1,3
43	1,3
44	1,4
45	1,4
46	1,4
47	1,4
48	1,4
49	1,3
50	1,3
51	1,4
52	1,4
53	1,3
54	1,3
55	1,4
56	1,4
57	1,4
58	1,4
59	1,4
60	1,4
61	1,4
62	1,4
63	1,4
64	1,3
65	1,3
66	1,4
67	1,4
68	1,4
69	1,3
70	1,3
71	1,3
72	1,3
73	1,4
74	1,4
75	1,3
76	1,3
77	1,3
78	1,3
79	1,3
80	1,3
81	1,4
82	1,3
83	1,3
84	1,3
85	1,3
86	1,3
87	1,4
88	1,4
89	1,3
90	1,3
91	1,3
92	1,3
93	1,3
94	1,4
95	1,4
96	1,3
97	1,3
98	1,3
99	1,3
100	1,3
101	1,3
102	1,3
103	1,3
104	1,3
105	1,3
106	1,3
107	1,3
108	1,3
109	1,3
110	1,3
111	1,3
112	1,3
113	1,3
114	1,3
115	1,3
116	1,3
117	1,3
118	1,3
119	1,3
120	1,3
121	1,3
122	1,3
123	1,3
124	1,4
125	1,4
126	1,3
127	1,3
128	1,3
129	1,3
130	1,3
131	1,3
132	1,3
133	1,3
134	1,3
135	1,3
136	1,3
137	1,3
138	1,3
139	1,3
140	1,3
141	1,3
142	1,3
143	1,3
144	1,3
145	1,4
146	1,3
147	1,3
148	1,4
149	1,3
150	1,3
151	1,4
152	1,4
153	1,4
154	1,4
155	1,4
156	1,4
157	1,4
158	1,4
159	1,4
160	1,4
161	1,4
162	1,4
163	1,4
164	1,4
165	1,4
166	1,4
167	1,4
168	1,4
169	1,4
170	1,4
171	1,3
172	1,4
173	1,4
174	1,4
175	1,4
176	1,4
177	1,3
178	1,3
179	1,4
180	1,4
181	1,4
182	1,4
183	1,4
184	1,4
185	1,4
186	1,4
187	1,4
188	1,4
189	1,4
190	1,4
191	1,4
192	1,4
193	1,4
194	1,4
195	1,4
196	1,4
197	1,4
198	1,4
199	1,4
200	1,4
201	1,4
202	1,4
203	1,4
204	1,4
205	1,4
206	1,4
207	1,4
208	1,4
209	1,4
210	1,4
211	1,4
212	1,4
213	1,3
214	1,3
215	1,4
216	1,4
217	1,4
218	1,4
219	1,4
220	1,3
221	1,3
222	1,4
223	1,4
224	1,4
225	1,4
226	1,4
227	1,4
228	1,4
229	1,4
230	1,4
231	1,4
232	1,4
233	1,4
234	1,4
235	1,4
236	1,4
237	1,4
238	1,4
239	1,4
240	1,4
241	1,4
242	1,4
243	1,4
244	1,5
245	1,5
246	1,4
247	1,4
248	1,4
249	1,4
250	1,4
251	1,4
252	1,4
253	1,4
254	1,5
255	1,5
256	1,4
257	1,4
258	1,5
259	1,5
260	1,4
261	1,4
262	1,4
263	1,4
