p	I1 / %
0	2,2
1	2,2
2	2,1
3	2,1
4	2,1
5	2,1
6	2,1
7	2,1
8	2,1
9	2,1
10	2,1
11	2,1
12	2,1
13	2,1
14	2,1
15	2,1
16	2,1
17	2,1
18	2,1
19	2,1
20	2,1
21	2,1
22	2,1
23	2,1
24	2,1
25	2,1
26	2,1
27	2,1
28	2,1
29	2,1
30	2,1
31	2,1
32	2,1
33	2,1
34	2,1
35	2,1
36	2,1
37	2,1
38	2,1
39	2,1
40	2,1
41	2,1
42	2,1
43	2,1
44	2,1
45	2,1
46	2,1
47	2,1
48	2,1
49	2,1
50	2,1
51	2,1
52	2,1
53	2,1
54	2,1
55	2,1
56	2,1
57	2,1
58	2,1
59	2,1
60	2,1
61	2,1
62	2,1
63	2,1
64	2,1
65	2,1
66	2,1
67	2,1
68	2,1
69	2,1
70	2,1
71	2,1
72	2,1
73	2,1
74	2,1
75	2,1
76	2,1
77	2,1
78	2,1
79	2,1
80	2,1
81	2,1
82	2,1
83	2,1
84	2,1
85	2,1
86	2,1
87	2,1
88	2,1
89	2,1
90	2,1
91	2,1
92	2,1
93	2,1
94	2,1
95	2,1
96	2,1
97	2,1
98	2,1
99	2,1
100	2,1
101	2,1
102	2,1
103	2,1
104	2,1
105	2,1
106	2,1
107	2,1
108	2,1
109	2,1
110	2,1
111	2,1
112	2,1
113	2,1
114	2,1
115	2,1
116	2,1
117	2,1
118	2,1
119	2,1
120	2,1
121	2,1
122	2,1
123	2,1
124	2,1
125	2,1
126	2,1
127	2,1
128	2,1
129	2,1
130	2,1
131	2,1
132	2,1
133	2,1
134	2,1
135	2,1
136	2,1
137	2,1
138	2,1
139	2,1
140	2,1
141	2,1
142	2,1
143	2,1
144	2,1
145	2,1
146	2,1
147	2,1
148	2,1
149	2,1
150	2,1
151	2,1
152	2,1
153	2,1
154	2,1
155	2,1
156	2,1
157	2,1
158	2,1
159	2,1
160	2,1
161	2,1
162	2,1
163	2,1
164	2,1
165	2,1
166	2,1
167	2,1
168	2,1
169	2,1
170	2,1
171	2,1
172	2,1
173	2,1
174	2,1
175	2,1
176	2,1
177	2,1
178	2,1
179	2,1
180	2,1
181	2,1
182	2,1
183	2,1
184	2,1
185	2,1
186	2,1
187	2,1
188	2,1
189	2,1
190	2,1
191	2,1
192	2,1
193	2,1
194	2,1
195	2,1
196	2,1
197	2,1
198	2,1
199	2,1
200	2,1
201	2,1
202	2,1
203	2,1
204	2,1
205	2,1
206	2,1
207	2,1
208	2,1
209	2,1
210	2,1
211	2,1
212	2,1
213	2,1
214	2,1
215	2,1
216	2,1
217	2,1
218	2,1
219	2,1
220	2,1
221	2,1
222	2,1
223	2,1
224	2,1
225	2,1
226	2,1
227	2,1
228	2,1
229	2,1
230	2,1
231	2,1
232	2,1
233	2,1
234	2,1
235	2,1
236	2,1
237	2,1
238	2,1
239	2,1
240	2,1
241	2,1
242	2,1
243	2,1
244	2,1
245	2,1
246	2,1
247	2,1
248	2,1
249	2,1
250	2,1
251	2,1
252	2,1
253	2,1
254	2,1
255	2,1
256	2,1
257	2,1
258	2,1
259	2,1
260	2,1
261	2,1
262	2,1
263	2,1
264	2,1
265	2,1
266	2,1
267	2,1
268	2,1
269	2,1
270	2,1
271	2,1
272	2,1
273	2,1
274	2,1
275	2,1
276	2,1
277	2,1
278	2,1
279	2,1
280	2,1
281	2,1
282	2,1
283	2,1
284	2,1
285	2,1
286	2,1
287	2,1
288	2,1
289	2,1
290	2,1
291	2,1
292	2,1
293	2,1
294	2,1
295	2,1
296	2,1
297	2,1
298	2,1
299	2,1
300	2,1
301	2,1
302	2,1
303	2,1
304	2,1
305	2,1
306	2,1
307	2,1
308	2,1
309	2,1
310	2,1
311	2,1
