"Δx [pm]","Δy [pm]","φ [deg]","R [pm]","Δz [pA]"
"405,15289744","-750,61578125","61,64157031","852,97885165","-41,32922904"
"375,21549122","-760,59737409","63,74210059","848,11262832","72,46821714"
"393,17793495","-726,65995844","61,58326353","826,21037499","81,26557708"
"397,16958911","-746,62314412","61,98905164","845,68895100","-364,65391233"
"-640,66049299","-620,85507438","135,89945278","892,13613909","-14,51067378"
"-652,63545548","-598,89557015","137,45873116","885,78154287","-133,66067123"
"632,67718467","636,82562292","-45,18722854","897,67883678","-357,00190345"
"-977,95526968","113,79015833","-173,36318298","984,55305069","147,97024391"
"952,00951762","-133,75334400","7,99746997","961,35949503","84,81183386"
"926,06376557","-89,83433552","5,54073456","930,41082633","59,37184537"
