n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	1
31	0
32	0
33	3
34	1
35	2
36	1
37	7
38	8
39	10
40	16
41	33
42	27
43	30
44	17
45	25
46	27
47	22
48	21
49	17
50	9
51	9
52	7
53	4
54	2
55	0
56	0
57	1
58	0
59	1
60	1
61	0
62	0
63	0
64	1
65	1
66	2
67	2
68	2
69	1
70	2
71	2
72	1
73	1
74	2
75	2
76	1
77	2
78	3
79	3
80	3
81	4
82	5
83	4
84	4
85	3
86	3
87	0
88	5
89	3
90	3
91	5
92	10
93	9
94	5
95	4
96	3
97	3
98	8
99	4
100	5
101	2
102	15
103	17
104	14
105	28
106	25
107	17
108	15
109	12
110	13
111	15
112	13
113	5
114	6
115	13
116	10
117	8
118	7
119	9
120	5
121	4
122	4
123	11
124	7
125	9
126	15
127	10
128	6
129	0
130	9
131	4
132	6
133	3
134	2
135	5
136	2
137	3
138	1
139	2
140	5
141	6
142	4
143	3
144	7
145	3
146	4
147	4
148	3
149	7
150	3
151	2
152	6
153	4
154	3
155	3
156	6
157	2
158	4
159	3
160	2
161	1
162	2
163	5
164	4
165	8
166	3
167	4
168	3
169	4
170	2
171	2
172	0
173	1
174	2
175	0
176	1
177	0
178	2
179	3
180	0
181	2
182	2
183	1
184	1
185	3
186	1
187	1
188	0
189	2
190	1
191	3
192	3
193	1
194	1
195	2
196	2
197	4
198	3
199	2
200	0
201	2
202	3
203	2
204	1
205	3
206	3
207	4
208	4
209	2
210	2
211	1
212	2
213	2
214	1
215	2
216	2
217	0
218	3
219	2
220	3
221	1
222	1
223	1
224	1
225	3
226	2
227	1
228	0
229	1
230	1
231	1
232	3
233	1
234	3
235	2
236	3
237	1
238	1
239	0
240	2
241	0
242	1
243	2
244	4
245	3
246	0
247	0
248	0
249	1
250	3
251	2
252	1
253	2
254	1
255	0
256	1
257	2
258	0
259	4
260	2
261	0
262	0
263	0
264	2
265	1
266	1
267	1
268	1
269	1
270	1
271	3
272	2
273	1
274	2
275	3
276	4
277	2
278	2
279	2
280	7
281	13
282	23
283	41
284	34
285	49
286	60
287	57
288	40
289	36
290	15
291	25
292	23
293	10
294	9
295	10
296	1
297	1
298	1
299	0
300	0
301	1
302	2
303	1
304	1
305	0
306	1
307	0
308	0
309	0
310	0
311	0
312	1
313	1
314	0
315	2
316	1
317	1
318	7
319	7
320	4
321	5
322	4
323	9
324	5
325	14
326	6
327	1
328	2
329	1
330	2
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
