n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	0
27	1
28	0
29	2
30	1
31	2
32	1
33	1
34	4
35	4
36	3
37	1
38	3
39	0
40	2
41	3
42	2
43	2
44	9
45	3
46	3
47	0
48	1
49	2
50	4
51	3
52	7
53	8
54	1
55	7
56	7
57	7
58	4
59	7
60	5
61	5
62	9
63	8
64	10
65	6
66	9
67	4
68	6
69	9
70	7
71	6
72	9
73	8
74	7
75	7
76	7
77	7
78	17
79	4
80	6
81	11
82	6
83	13
84	9
85	12
86	9
87	8
88	10
89	5
90	10
91	15
92	13
93	15
94	4
95	5
96	16
97	20
98	18
99	18
100	33
101	35
102	69
103	97
104	110
105	107
106	98
107	89
108	71
109	92
110	74
111	100
112	103
113	93
114	88
115	63
116	52
117	56
118	45
119	41
120	27
121	43
122	52
123	75
124	132
125	172
126	222
127	255
128	224
129	192
130	183
131	143
132	106
133	103
134	92
135	57
136	34
137	30
138	15
139	15
140	10
141	20
142	12
143	13
144	16
145	36
146	42
147	67
148	100
149	130
150	150
151	134
152	122
153	110
154	97
155	89
156	73
157	65
158	50
159	39
160	19
161	16
162	12
163	8
164	4
165	6
166	5
167	8
168	3
169	4
170	7
171	11
172	11
173	9
174	19
175	24
176	13
177	17
178	14
179	13
180	9
181	15
182	9
183	3
184	10
185	2
186	5
187	2
188	1
189	4
190	3
191	2
192	2
193	1
194	1
195	5
196	3
197	1
198	4
199	2
200	0
201	3
202	3
203	3
204	3
205	2
206	9
207	2
208	0
209	2
210	2
211	5
212	2
213	0
214	1
215	3
216	1
217	3
218	4
219	3
220	2
221	3
222	1
223	1
224	2
225	1
226	3
227	1
228	5
229	4
230	0
231	0
232	3
233	2
234	0
235	2
236	2
237	4
238	0
239	3
240	1
241	0
242	2
243	2
244	1
245	3
246	4
247	1
248	0
249	1
250	1
251	1
252	2
253	1
254	1
255	2
256	1
257	3
258	2
259	1
260	3
261	0
262	4
263	1
264	0
265	0
266	1
267	0
268	2
269	0
270	1
271	1
272	1
273	2
274	2
275	1
276	1
277	2
278	2
279	1
280	1
281	1
282	1
283	3
284	2
285	1
286	1
287	2
288	0
289	1
290	0
291	0
292	1
293	0
294	1
295	2
296	2
297	1
298	0
299	0
300	1
301	0
302	1
303	0
304	2
305	0
306	1
307	2
308	1
309	0
310	2
311	0
312	0
313	0
314	1
315	1
316	0
317	1
318	0
319	0
320	0
321	0
322	0
323	1
324	1
325	0
326	4
327	1
328	0
329	1
330	1
331	0
332	1
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	1
343	1
344	1
345	0
346	0
347	0
348	1
349	1
350	0
351	0
352	0
353	0
354	0
355	2
356	0
357	1
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	1
367	1
368	0
369	0
370	0
371	0
372	0
373	1
374	1
375	0
376	0
377	0
378	1
379	0
380	0
381	0
382	1
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
