&b / °	R_0 / 1/s
2,0	13,1
2,1	12,5
2,2	12,6
2,3	11,5
2,4	12,5
2,5	11,6
2,6	14,7
2,7	12,2
2,8	15,7
2,9	14,8
3,0	16,5
3,1	15,7
3,2	15,5
3,3	17,4
3,4	39,7
3,5	111,6
3,6	250,8
3,7	362,5
3,8	455,1
3,9	569,2
4,0	609,1
4,1	673,4
4,2	692,5
4,3	753,5
4,4	757,6
4,5	793,7
4,6	788,3
4,7	825,5
4,8	806,1
4,9	821,9
5,0	801,6
5,1	843,3
5,2	829,6
5,3	853,7
5,4	824,1
5,5	859,0
5,6	846,4
5,7	871,4
5,8	842,7
5,9	882,0
6,0	862,0
6,1	871,3
6,2	836,7
6,3	880,4
6,4	849,6
6,5	866,3
6,6	863,2
6,7	888,7
6,8	850,3
6,9	867,0
7,0	842,9
7,1	877,5
7,2	863,7
7,3	884,1
7,4	877,0
7,5	894,5
7,6	856,9
7,7	865,6
7,8	819,4
7,9	864,9
8,0	823,0
8,1	830,9
8,2	814,8
8,3	830,5
8,4	795,9
8,5	808,1
8,6	780,0
8,7	788,4
8,8	767,8
8,9	778,1
9,0	760,4
9,1	771,7
9,2	735,5
9,3	737,3
9,4	690,4
9,5	688,7
9,6	652,7
9,7	647,9
9,8	623,3
9,9	616,9
10,0	601,2
10,1	595,3
10,2	572,4
10,3	564,7
10,4	552,1
10,5	554,7
10,6	525,5
10,7	531,3
10,8	515,5
10,9	522,4
11,0	501,1
11,1	526,3
11,2	518,2
11,3	512,7
11,4	463,8
11,5	461,3
11,6	449,5
11,7	442,6
11,8	446,3
11,9	439,1
12,0	421,0
12,1	422,8
12,2	404,2
12,3	408,5
12,4	391,8
12,5	400,0
12,6	438,2
12,7	480,8
12,8	461,3
12,9	466,2
13,0	498,6
13,1	528,9
13,2	494,3
13,3	428,6
13,4	362,4
13,5	349,1
13,6	329,9
13,7	325,7
13,8	315,7
13,9	311,9
14,0	433,7
14,1	1201,1
14,2	2115,0
14,3	2192,4
14,4	1814,0
14,5	958,9
14,6	539,1
14,7	420,0
14,8	378,5
14,9	383,9
15,0	459,3
15,1	559,8
15,2	562,1
15,3	520,9
15,4	421,1
15,5	428,0
15,6	1359,6
15,7	3912,7
15,8	5721,5
15,9	5729,5
16,0	4389,6
16,1	2204,2
16,2	747,0
16,3	329,1
16,4	288,6
16,5	280,7
16,6	250,0
16,7	256,8
16,8	244,6
16,9	235,8
17,0	240,4
17,1	236,6
17,2	231,5
17,3	233,4
17,4	215,5
17,5	219,6
17,6	203,7
17,7	208,2
17,8	201,0
17,9	198,0
18,0	204,1
18,1	201,8
18,2	205,5
18,3	177,5
18,4	174,4
18,5	177,5
18,6	170,9
18,7	170,0
18,8	170,0
18,9	165,6
19,0	154,8
19,1	156,0
19,2	145,4
19,3	146,6
19,4	143,5
19,5	134,9
19,6	135,8
19,7	131,7
19,8	128,4
19,9	145,3
20,0	175,8
20,1	179,5
20,2	173,3
20,3	155,2
20,4	123,9
20,5	114,7
20,6	107,5
20,7	116,3
20,8	106,9
20,9	102,9
21,0	106,6
21,1	102,3
21,2	100,7
21,3	100,9
21,4	96,8
21,5	96,5
21,6	90,2
21,7	88,9
21,8	91,7
21,9	89,1
22,0	82,5
22,1	93,0
22,2	86,8
22,3	87,1
22,4	84,2
22,5	83,7
22,6	77,0
22,7	85,4
22,8	85,2
22,9	86,4
23,0	84,8
23,1	80,8
23,2	74,1
23,3	72,3
23,4	73,4
23,5	69,5
23,6	72,2
23,7	74,0
23,8	67,0
23,9	73,2
24,0	72,2
24,1	68,4
24,2	67,1
24,3	65,0
24,4	65,4
24,5	67,1
24,6	62,3
24,7	61,7
24,8	56,6
24,9	61,2
25,0	58,6
