n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	3
17	0
18	1
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	4
27	2
28	8
29	5
30	7
31	6
32	12
33	17
34	17
35	23
36	30
37	22
38	22
39	26
40	27
41	40
42	37
43	41
44	43
45	32
46	25
47	29
48	42
49	35
50	42
51	42
52	49
53	37
54	59
55	57
56	57
57	62
58	66
59	65
60	87
61	90
62	118
63	97
64	90
65	107
66	92
67	89
68	111
69	107
70	109
71	91
72	125
73	106
74	111
75	123
76	149
77	234
78	423
79	931
80	1951
81	3415
82	4840
83	5714
84	5801
85	4903
86	4032
87	3442
88	3052
89	2914
90	2709
91	2226
92	1665
93	1240
94	835
95	626
96	452
97	421
98	337
99	265
100	178
101	88
102	66
103	49
104	25
105	19
106	24
107	12
108	15
109	12
110	15
111	7
112	8
113	12
114	8
115	7
116	7
117	5
118	6
119	5
120	4
121	17
122	9
123	6
124	10
125	15
126	21
127	20
128	28
129	33
130	32
131	25
132	33
133	41
134	39
135	26
136	34
137	25
138	13
139	18
140	10
141	10
142	16
143	14
144	7
145	8
146	7
147	12
148	12
149	6
150	9
151	7
152	10
153	5
154	14
155	7
156	6
157	9
158	8
159	4
160	14
161	5
162	8
163	8
164	11
165	6
166	11
167	6
168	5
169	3
170	3
171	5
172	10
173	7
174	2
175	5
176	1
177	3
178	4
179	3
180	2
181	2
182	2
183	0
184	1
185	0
186	0
187	1
188	1
189	1
190	1
191	0
192	1
193	0
194	0
195	0
196	0
197	0
198	1
199	0
200	1
201	0
202	4
203	0
204	2
205	1
206	0
207	0
208	0
209	1
210	0
211	0
212	0
213	0
214	2
215	0
216	1
217	0
218	1
219	0
220	0
221	1
222	0
223	0
224	1
225	1
226	0
227	1
228	1
229	0
230	0
231	0
232	2
233	1
234	0
235	0
236	1
237	0
238	2
239	1
240	1
241	0
242	1
243	2
244	0
245	1
246	0
247	0
248	0
249	0
250	1
251	1
252	0
253	0
254	0
255	0
256	0
257	0
258	1
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	2
272	0
273	0
274	1
275	0
276	0
277	0
278	1
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	1
288	1
289	0
290	0
291	0
292	0
293	1
294	0
295	0
296	0
297	0
298	0
299	0
300	1
301	0
302	1
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	1
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	1
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
