n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	1
29	1
30	0
31	1
32	2
33	2
34	5
35	4
36	2
37	4
38	0
39	5
40	11
41	5
42	15
43	24
44	34
45	57
46	53
47	57
48	60
49	54
50	40
51	51
52	30
53	22
54	28
55	30
56	19
57	13
58	8
59	5
60	4
61	5
62	2
63	1
64	2
65	1
66	1
67	1
68	0
69	3
70	2
71	1
72	5
73	2
74	1
75	3
76	2
77	3
78	5
79	4
80	3
81	8
82	2
83	12
84	7
85	5
86	7
87	10
88	5
89	4
90	4
91	1
92	0
93	2
94	2
95	5
96	5
97	2
98	6
99	6
100	8
101	26
102	29
103	41
104	57
105	52
106	57
107	37
108	36
109	34
110	29
111	37
112	21
113	30
114	17
115	10
116	14
117	16
118	18
119	12
120	7
121	7
122	5
123	5
124	4
125	3
126	4
127	9
128	2
129	5
130	3
131	4
132	2
133	2
134	1
135	5
136	2
137	2
138	1
139	3
140	1
141	2
142	3
143	3
144	0
145	0
146	0
147	5
148	3
149	1
150	2
151	0
152	2
153	1
154	1
155	2
156	5
157	0
158	4
159	2
160	2
161	2
162	0
163	4
164	1
165	2
166	2
167	1
168	1
169	3
170	1
171	0
172	2
173	2
174	1
175	1
176	2
177	2
178	3
179	1
180	3
181	2
182	1
183	4
184	6
185	1
186	1
187	2
188	2
189	3
190	0
191	2
192	0
193	0
194	2
195	0
196	0
197	2
198	0
199	0
200	3
201	2
202	2
203	4
204	0
205	2
206	0
207	1
208	3
209	3
210	1
211	2
212	1
213	2
214	0
215	2
216	1
217	0
218	1
219	1
220	2
221	1
222	0
223	1
224	3
225	2
226	0
227	1
228	0
229	1
230	1
231	0
232	0
233	1
234	0
235	1
236	1
237	1
238	2
239	2
240	1
241	1
242	0
243	1
244	0
245	1
246	2
247	0
248	0
249	0
250	0
251	2
252	1
253	0
254	0
255	1
256	1
257	0
258	1
259	0
260	0
261	1
262	1
263	1
264	0
265	0
266	0
267	2
268	0
269	1
270	0
271	1
272	0
273	0
274	2
275	0
276	1
277	0
278	1
279	1
280	0
281	0
282	1
283	1
284	2
285	1
286	0
287	1
288	0
289	1
290	1
291	1
292	1
293	1
294	2
295	0
296	0
297	0
298	1
299	2
300	1
301	1
302	1
303	0
304	4
305	9
306	12
307	14
308	9
309	13
310	19
311	20
312	20
313	12
314	13
315	11
316	8
317	4
318	7
319	1
320	3
321	0
322	0
323	0
324	1
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	1
333	0
334	0
335	0
336	0
337	1
338	0
339	0
340	0
341	2
342	0
343	0
344	6
345	0
346	4
347	4
348	1
349	3
350	0
351	1
352	0
353	1
354	1
355	0
356	0
357	1
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	1
509	0
510	0
511	0
