&b / °	R_0 / 1/s
28,50	0,708
28,51	0,600
28,52	0,533
28,53	0,517
28,54	0,592
28,55	0,483
28,56	0,617
28,57	0,692
28,58	0,408
28,59	0,517
28,60	0,525
28,61	0,408
28,62	0,692
28,63	0,558
28,64	0,775
28,65	0,567
28,66	0,617
28,67	0,558
28,68	0,758
28,69	0,667
28,70	0,617
28,71	0,658
28,72	0,558
28,73	0,508
28,74	0,533
28,75	0,650
28,76	0,492
28,77	0,625
28,78	0,592
28,79	0,508
28,80	0,592
28,81	0,517
28,82	0,533
28,83	0,433
28,84	0,575
28,85	0,592
28,86	0,458
28,87	0,575
28,88	0,492
28,89	0,525
28,90	0,467
28,91	0,600
28,92	0,567
28,93	0,592
28,94	0,600
28,95	0,650
28,96	0,675
28,97	0,542
28,98	0,517
28,99	0,683
29,00	0,467
29,01	0,458
29,02	0,517
29,03	0,717
29,04	0,550
29,05	0,575
29,06	0,517
29,07	0,550
29,08	0,550
29,09	0,725
29,10	0,642
29,11	0,542
29,12	0,708
29,13	0,467
29,14	0,692
29,15	0,583
29,16	0,458
29,17	0,542
29,18	0,533
29,19	0,542
29,20	0,558
29,21	0,617
29,22	0,617
29,23	0,425
29,24	0,617
29,25	0,575
29,26	0,583
29,27	0,542
29,28	0,742
29,29	0,683
29,30	0,467
29,31	0,533
29,32	0,600
29,33	0,508
29,34	0,567
29,35	0,608
29,36	0,592
29,37	0,567
29,38	0,583
29,39	0,625
29,40	0,717
29,41	0,558
29,42	0,633
29,43	0,592
29,44	0,500
29,45	0,500
29,46	0,658
29,47	0,558
29,48	0,383
29,49	0,575
29,50	0,592
29,51	0,450
29,52	0,417
29,53	0,608
29,54	0,508
29,55	0,583
29,56	0,517
29,57	0,517
29,58	0,558
29,59	0,675
29,60	0,500
29,61	0,508
29,62	0,500
29,63	0,483
29,64	0,533
29,65	0,500
29,66	0,525
29,67	0,417
29,68	0,583
29,69	0,475
29,70	0,583
29,71	0,517
29,72	0,517
29,73	0,558
29,74	0,550
29,75	0,600
29,76	0,517
29,77	0,492
29,78	0,558
29,79	0,500
29,80	0,583
29,81	0,458
29,82	0,533
29,83	0,483
29,84	0,608
29,85	0,550
29,86	0,475
29,87	0,483
29,88	0,617
29,89	0,467
29,90	0,500
29,91	0,433
29,92	0,608
29,93	0,442
29,94	0,508
29,95	0,600
29,96	0,533
29,97	0,650
29,98	0,533
29,99	0,567
30,00	0,500
30,01	0,583
30,02	0,608
30,03	0,383
30,04	0,642
