n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	0
27	3
28	2
29	2
30	4
31	3
32	5
33	9
34	7
35	8
36	12
37	11
38	12
39	7
40	17
41	20
42	14
43	5
44	12
45	13
46	14
47	17
48	14
49	13
50	19
51	13
52	12
53	16
54	20
55	16
56	20
57	17
58	27
59	18
60	20
61	24
62	25
63	26
64	35
65	18
66	30
67	29
68	35
69	39
70	39
71	36
72	45
73	48
74	46
75	74
76	72
77	83
78	74
79	79
80	62
81	75
82	61
83	70
84	79
85	70
86	75
87	80
88	90
89	76
90	81
91	123
92	249
93	527
94	957
95	1728
96	2504
97	2970
98	2958
99	2449
100	2107
101	1605
102	1500
103	1364
104	1215
105	1022
106	853
107	655
108	549
109	436
110	334
111	280
112	238
113	217
114	156
115	128
116	84
117	43
118	26
119	8
120	9
121	4
122	1
123	5
124	2
125	2
126	3
127	2
128	2
129	1
130	0
131	2
132	2
133	1
134	0
135	1
136	0
137	2
138	5
139	2
140	2
141	2
142	1
143	3
144	6
145	6
146	1
147	2
148	5
149	7
150	6
151	4
152	16
153	4
154	5
155	8
156	5
157	5
158	7
159	6
160	5
161	3
162	5
163	5
164	2
165	4
166	3
167	2
168	3
169	1
170	3
171	5
172	2
173	2
174	1
175	1
176	3
177	3
178	2
179	1
180	1
181	0
182	0
183	2
184	0
185	1
186	1
187	4
188	7
189	0
190	3
191	3
192	1
193	3
194	3
195	4
196	1
197	0
198	0
199	4
200	1
201	4
202	1
203	0
204	1
205	3
206	0
207	1
208	0
209	2
210	1
211	1
212	0
213	0
214	0
215	1
216	0
217	0
218	0
219	1
220	0
221	0
222	0
223	0
224	0
225	1
226	0
227	0
228	0
229	1
230	1
231	0
232	0
233	0
234	0
235	0
236	2
237	0
238	1
239	0
240	2
241	0
242	0
243	0
244	0
245	0
246	1
247	0
248	0
249	0
250	1
251	0
252	0
253	0
254	0
255	0
256	1
257	0
258	1
259	0
260	2
261	1
262	0
263	0
264	0
265	2
266	0
267	0
268	1
269	0
270	1
271	0
272	0
273	0
274	0
275	1
276	2
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	1
285	0
286	0
287	1
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	1
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	1
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
