n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	1
26	0
27	2
28	0
29	0
30	0
31	1
32	2
33	0
34	4
35	2
36	3
37	9
38	3
39	3
40	2
41	2
42	4
43	1
44	7
45	3
46	5
47	3
48	3
49	2
50	7
51	5
52	4
53	1
54	3
55	1
56	6
57	1
58	2
59	7
60	6
61	9
62	7
63	3
64	7
65	4
66	5
67	5
68	6
69	8
70	7
71	5
72	9
73	9
74	8
75	5
76	5
77	11
78	13
79	11
80	10
81	7
82	7
83	6
84	12
85	5
86	13
87	7
88	14
89	11
90	7
91	11
92	12
93	11
94	18
95	19
96	23
97	20
98	19
99	19
100	25
101	43
102	66
103	114
104	132
105	129
106	109
107	103
108	87
109	71
110	69
111	66
112	46
113	44
114	37
115	42
116	36
117	50
118	34
119	48
120	40
121	41
122	31
123	39
124	30
125	30
126	14
127	19
128	21
129	24
130	20
131	23
132	32
133	57
134	83
135	182
136	243
137	301
138	317
139	325
140	283
141	184
142	167
143	160
144	124
145	114
146	66
147	49
148	32
149	22
150	13
151	8
152	12
153	10
154	9
155	9
156	19
157	25
158	24
159	21
160	37
161	59
162	82
163	147
164	163
165	206
166	180
167	158
168	159
169	122
170	86
171	86
172	64
173	51
174	36
175	16
176	9
177	8
178	6
179	6
180	0
181	1
182	2
183	2
184	1
185	4
186	0
187	2
188	2
189	5
190	11
191	10
192	13
193	11
194	12
195	15
196	14
197	13
198	13
199	6
200	12
201	1
202	7
203	6
204	4
205	3
206	2
207	0
208	2
209	1
210	0
211	1
212	0
213	1
214	0
215	0
216	0
217	0
218	1
219	0
220	1
221	0
222	2
223	0
224	0
225	2
226	1
227	0
228	2
229	1
230	2
231	0
232	0
233	1
234	0
235	1
236	0
237	0
238	1
239	0
240	0
241	2
242	1
243	1
244	1
245	1
246	0
247	2
248	1
249	1
250	2
251	0
252	0
253	1
254	0
255	0
256	0
257	0
258	0
259	1
260	0
261	1
262	0
263	1
264	0
265	0
266	0
267	0
268	0
269	0
270	1
271	0
272	0
273	1
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	1
283	1
284	0
285	1
286	0
287	0
288	0
289	0
290	0
291	0
292	1
293	0
294	2
295	0
296	1
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	1
309	1
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	0
331	0
332	0
333	1
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	1
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
