n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	4
25	1
26	1
27	1
28	3
29	7
30	9
31	3
32	9
33	4
34	8
35	13
36	10
37	8
38	15
39	16
40	29
41	28
42	26
43	35
44	47
45	54
46	75
47	84
48	110
49	115
50	108
51	125
52	130
53	101
54	94
55	84
56	67
57	58
58	56
59	44
60	32
61	38
62	31
63	42
64	47
65	40
66	39
67	39
68	40
69	31
70	37
71	42
72	37
73	30
74	37
75	37
76	26
77	43
78	44
79	42
80	44
81	41
82	36
83	42
84	49
85	36
86	45
87	35
88	44
89	49
90	39
91	47
92	56
93	34
94	52
95	51
96	50
97	58
98	59
99	58
100	105
101	188
102	259
103	415
104	582
105	589
106	557
107	427
108	368
109	295
110	278
111	273
112	195
113	127
114	63
115	37
116	10
117	6
118	9
119	8
120	2
121	6
122	5
123	2
124	8
125	3
126	5
127	7
128	10
129	6
130	3
131	2
132	4
133	4
134	3
135	2
136	1
137	3
138	2
139	3
140	0
141	2
142	6
143	1
144	2
145	3
146	2
147	3
148	4
149	4
150	5
151	6
152	2
153	6
154	0
155	3
156	5
157	0
158	3
159	2
160	7
161	4
162	0
163	4
164	4
165	3
166	1
167	3
168	1
169	1
170	3
171	2
172	3
173	2
174	2
175	0
176	0
177	0
178	3
179	3
180	3
181	1
182	3
183	0
184	4
185	2
186	1
187	3
188	1
189	6
190	3
191	3
192	2
193	3
194	3
195	2
196	2
197	3
198	1
199	1
200	0
201	4
202	0
203	3
204	1
205	0
206	1
207	1
208	2
209	1
210	0
211	2
212	0
213	0
214	1
215	0
216	0
217	1
218	0
219	2
220	1
221	0
222	2
223	0
224	1
225	1
226	1
227	1
228	1
229	1
230	0
231	1
232	1
233	1
234	2
235	1
236	1
237	1
238	1
239	2
240	3
241	1
242	1
243	2
244	3
245	1
246	1
247	2
248	0
249	0
250	0
251	2
252	0
253	1
254	0
255	0
256	0
257	1
258	0
259	1
260	0
261	0
262	1
263	0
264	0
265	0
266	1
267	0
268	0
269	0
270	1
271	1
272	0
273	1
274	0
275	1
276	0
277	0
278	0
279	0
280	1
281	1
282	0
283	2
284	0
285	1
286	2
287	0
288	1
289	0
290	0
291	2
292	0
293	1
294	0
295	2
296	1
297	2
298	0
299	0
300	0
301	0
302	1
303	1
304	0
305	0
306	0
307	1
308	3
309	0
310	0
311	1
312	0
313	2
314	1
315	0
316	1
317	4
318	1
319	4
320	8
321	7
322	10
323	11
324	10
325	6
326	6
327	7
328	7
329	4
330	6
331	2
332	1
333	0
334	1
335	0
336	0
337	1
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	2
361	0
362	0
363	2
364	4
365	3
366	1
367	2
368	2
369	0
370	1
371	1
372	0
373	0
374	2
375	1
376	0
377	0
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
