n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	4
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	2
25	4
26	2
27	3
28	1
29	3
30	6
31	8
32	6
33	8
34	22
35	21
36	27
37	36
38	29
39	36
40	37
41	36
42	40
43	41
44	32
45	60
46	33
47	26
48	32
49	31
50	44
51	33
52	44
53	61
54	66
55	120
56	274
57	588
58	1053
59	1556
60	1868
61	1843
62	1570
63	1388
64	1283
65	1180
66	1023
67	873
68	584
69	389
70	252
71	179
72	135
73	77
74	47
75	24
76	11
77	4
78	1
79	3
80	2
81	4
82	8
83	9
84	6
85	8
86	9
87	11
88	6
89	8
90	3
91	6
92	8
93	15
94	8
95	8
96	11
97	4
98	7
99	3
100	4
101	6
102	10
103	13
104	12
105	10
106	12
107	9
108	6
109	13
110	5
111	13
112	11
113	4
114	8
115	6
116	9
117	1
118	7
119	6
120	3
121	7
122	4
123	3
124	5
125	2
126	4
127	2
128	1
129	5
130	0
131	2
132	0
133	3
134	3
135	2
136	2
137	2
138	2
139	0
140	1
141	0
142	1
143	2
144	2
145	2
146	0
147	3
148	0
149	1
150	3
151	2
152	0
153	0
154	3
155	0
156	1
157	3
158	2
159	2
160	1
161	0
162	2
163	0
164	1
165	2
166	1
167	2
168	0
169	1
170	3
171	2
172	0
173	2
174	3
175	2
176	1
177	1
178	0
179	1
180	1
181	0
182	0
183	0
184	1
185	0
186	1
187	0
188	0
189	0
190	2
191	1
192	1
193	1
194	0
195	1
196	0
197	1
198	0
199	0
200	1
201	1
202	3
203	0
204	0
205	1
206	1
207	2
208	0
209	1
210	2
211	0
212	1
213	1
214	1
215	0
216	0
217	0
218	0
219	2
220	0
221	0
222	3
223	0
224	0
225	0
226	0
227	0
228	0
229	1
230	0
231	3
232	0
233	0
234	2
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	1
243	0
244	0
245	0
246	0
247	0
248	1
249	1
250	0
251	0
252	1
253	0
254	0
255	0
256	0
257	0
258	1
259	0
260	1
261	0
262	0
263	1
264	0
265	1
266	2
267	0
268	0
269	0
270	1
271	0
272	1
273	0
274	0
275	0
276	0
277	0
278	1
279	0
280	0
281	0
282	0
283	1
284	1
285	0
286	0
287	0
288	0
289	0
290	0
291	1
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	1
304	0
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
