n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	3
19	1
20	0
21	1
22	0
23	0
24	0
25	0
26	3
27	1
28	2
29	0
30	3
31	2
32	3
33	6
34	9
35	3
36	9
37	11
38	3
39	7
40	6
41	3
42	7
43	8
44	11
45	8
46	3
47	8
48	10
49	11
50	8
51	11
52	10
53	13
54	14
55	13
56	14
57	14
58	14
59	6
60	15
61	22
62	15
63	9
64	15
65	12
66	12
67	18
68	11
69	13
70	14
71	19
72	25
73	16
74	26
75	23
76	19
77	33
78	19
79	29
80	32
81	24
82	27
83	39
84	39
85	27
86	33
87	46
88	37
89	39
90	52
91	33
92	37
93	35
94	46
95	34
96	45
97	57
98	63
99	102
100	188
101	364
102	690
103	1035
104	1288
105	1485
106	1341
107	1135
108	1000
109	955
110	1083
111	1277
112	1261
113	1173
114	1027
115	864
116	675
117	565
118	504
119	425
120	339
121	225
122	204
123	151
124	94
125	79
126	57
127	44
128	27
129	32
130	18
131	19
132	14
133	8
134	10
135	6
136	3
137	3
138	2
139	2
140	1
141	1
142	2
143	2
144	0
145	1
146	0
147	0
148	0
149	0
150	0
151	4
152	1
153	1
154	1
155	1
156	3
157	1
158	2
159	5
160	2
161	3
162	3
163	3
164	3
165	4
166	0
167	3
168	7
169	5
170	2
171	4
172	1
173	1
174	3
175	3
176	2
177	1
178	0
179	1
180	2
181	1
182	1
183	4
184	3
185	1
186	0
187	3
188	0
189	1
190	1
191	3
192	1
193	1
194	0
195	2
196	0
197	3
198	4
199	4
200	2
201	1
202	0
203	1
204	0
205	1
206	1
207	0
208	1
209	2
210	0
211	2
212	1
213	1
214	0
215	2
216	0
217	3
218	0
219	0
220	0
221	1
222	0
223	0
224	1
225	1
226	0
227	1
228	0
229	0
230	0
231	0
232	1
233	0
234	0
235	2
236	2
237	0
238	2
239	0
240	0
241	0
242	0
243	1
244	2
245	0
246	0
247	2
248	2
249	0
250	0
251	0
252	1
253	0
254	0
255	1
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	1
269	0
270	0
271	0
272	0
273	0
274	0
275	2
276	0
277	0
278	0
279	0
280	0
281	1
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	2
296	0
297	0
298	0
299	0
300	1
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	1
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	2
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
