&b / °	R_0 / 1/s
2,0	12,0
2,1	12,5
2,2	12,6
2,3	16,1
2,4	13,9
2,5	10,7
2,6	15,5
2,7	13,1
2,8	15,3
2,9	14,4
3,0	15,6
3,1	14,8
3,2	18,5
3,3	22,7
3,4	52,2
3,5	116,2
3,6	271,8
3,7	464,2
3,8	728,7
3,9	881,7
4,0	1042,9
4,1	1130,6
4,2	1223,9
4,3	1286,2
4,4	1375,1
4,5	1402,8
4,6	1479,4
4,7	1519,6
4,8	1577,2
4,9	1608,5
5,0	1645,7
5,1	1664,4
5,2	1732,4
5,3	1741,7
5,4	1785,0
5,5	1787,5
5,6	1814,1
5,7	1822,2
5,8	1846,1
5,9	1826,3
6,0	1856,4
6,1	1856,6
6,2	1861,0
6,3	1884,0
6,4	1867,8
6,5	1880,7
6,6	1866,9
6,7	1849,8
6,8	1875,9
6,9	1826,6
7,0	1830,0
7,1	1806,2
7,2	1821,7
7,3	1825,0
7,4	1826,5
7,5	1813,3
7,6	1821,1
7,7	1806,3
7,8	1779,4
7,9	1774,7
8,0	1738,3
8,1	1678,7
8,2	1677,1
8,3	1622,4
8,4	1593,3
8,5	1557,3
8,6	1537,0
8,7	1509,2
8,8	1494,9
8,9	1470,3
9,0	1449,7
9,1	1410,0
9,2	1383,3
9,3	1331,6
9,4	1267,2
9,5	1183,1
9,6	1156,2
9,7	1076,5
9,8	1054,1
9,9	1018,6
10,0	991,1
10,1	951,9
10,2	938,1
10,3	939,2
10,4	958,0
10,5	949,8
10,6	969,3
10,7	1000,9
10,8	1097,0
10,9	1158,0
11,0	1197,3
11,1	1326,4
11,2	1450,6
11,3	1379,1
11,4	1092,4
11,5	900,0
11,6	815,5
11,7	785,0
11,8	747,4
11,9	732,2
12,0	717,4
12,1	701,5
12,2	693,8
12,3	721,3
12,4	827,6
12,5	1025,6
12,6	1457,1
12,7	1786,9
12,8	2004,2
12,9	2010,4
13,0	2318,8
13,1	2551,9
13,2	2469,2
13,3	1884,0
13,4	1211,6
13,5	823,4
13,6	661,5
13,7	610,6
13,8	593,6
13,9	574,4
14,0	550,1
14,1	550,8
14,2	528,2
14,3	534,0
14,4	532,7
14,5	536,0
14,6	547,4
14,7	535,2
14,8	609,5
14,9	955,8
15,0	1581,2
15,1	2227,5
15,2	2377,0
15,3	2050,5
15,4	1247,5
15,5	666,9
15,6	450,4
15,7	405,9
15,8	394,8
15,9	379,2
16,0	380,9
16,1	370,3
16,2	358,5
16,3	350,2
16,4	352,2
16,5	342,3
16,6	342,4
16,7	327,8
16,8	322,7
16,9	326,1
17,0	341,2
17,1	349,1
17,2	369,5
17,3	358,6
17,4	337,2
17,5	304,6
17,6	281,6
17,7	271,7
17,8	272,0
17,9	261,1
18,0	276,2
18,1	267,0
18,2	262,2
18,3	254,6
18,4	247,1
18,5	247,4
18,6	228,7
18,7	231,9
18,8	237,8
18,9	230,2
19,0	220,9
19,1	216,7
19,2	201,6
19,3	199,4
19,4	197,0
19,5	194,2
19,6	189,1
19,7	178,4
19,8	182,5
19,9	190,0
20,0	186,1
20,1	191,2
20,2	192,4
20,3	180,3
20,4	170,5
20,5	163,1
20,6	161,5
20,7	148,9
20,8	152,7
20,9	155,2
21,0	148,0
21,1	151,1
21,2	150,0
21,3	157,9
21,4	159,8
21,5	161,3
21,6	149,4
21,7	147,6
21,8	147,8
21,9	146,6
22,0	167,8
22,1	187,9
22,2	195,0
22,3	187,0
22,4	167,0
22,5	152,7
22,6	144,5
22,7	157,8
22,8	232,5
22,9	310,1
23,0	308,9
23,1	227,8
23,2	152,6
23,3	133,2
23,4	127,2
23,5	132,0
23,6	128,7
23,7	133,0
23,8	120,8
23,9	123,2
24,0	118,6
24,1	115,8
24,2	111,5
24,3	114,3
24,4	118,1
24,5	108,5
24,6	104,9
24,7	103,7
24,8	103,5
24,9	109,2
25,0	105,6
