n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29	2
30	2
31	2
32	1
33	4
34	2
35	4
36	11
37	7
38	2
39	5
40	6
41	6
42	0
43	3
44	2
45	2
46	4
47	0
48	1
49	2
50	7
51	4
52	2
53	3
54	2
55	4
56	0
57	1
58	3
59	3
60	7
61	4
62	6
63	5
64	4
65	5
66	2
67	4
68	5
69	3
70	8
71	4
72	2
73	3
74	4
75	4
76	5
77	8
78	4
79	3
80	4
81	6
82	9
83	13
84	9
85	17
86	10
87	11
88	5
89	16
90	10
91	11
92	10
93	10
94	6
95	11
96	10
97	10
98	8
99	7
100	13
101	11
102	22
103	42
104	42
105	43
106	40
107	41
108	26
109	31
110	29
111	32
112	20
113	37
114	32
115	36
116	35
117	25
118	23
119	31
120	20
121	12
122	7
123	19
124	20
125	21
126	23
127	18
128	18
129	23
130	11
131	11
132	14
133	14
134	23
135	10
136	10
137	5
138	10
139	10
140	2
141	5
142	10
143	6
144	5
145	5
146	9
147	9
148	13
149	12
150	28
151	25
152	15
153	22
154	14
155	10
156	11
157	16
158	9
159	10
160	7
161	8
162	6
163	4
164	4
165	3
166	3
167	5
168	6
169	9
170	6
171	6
172	11
173	9
174	10
175	5
176	9
177	8
178	8
179	9
180	8
181	5
182	8
183	5
184	6
185	9
186	5
187	10
188	7
189	2
190	8
191	7
192	3
193	11
194	8
195	8
196	8
197	10
198	12
199	24
200	45
201	95
202	135
203	233
204	352
205	441
206	417
207	384
208	364
209	278
210	217
211	207
212	144
213	106
214	80
215	37
216	24
217	5
218	4
219	1
220	2
221	2
222	8
223	2
224	6
225	6
226	12
227	41
228	48
229	54
230	61
231	49
232	35
233	52
234	37
235	35
236	29
237	12
238	25
239	11
240	5
241	2
242	2
243	1
244	2
245	0
246	1
247	0
248	1
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	1
258	0
259	0
260	0
261	0
262	0
263	0
264	1
265	0
266	0
267	0
268	0
269	1
270	1
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	1
289	0
290	1
291	0
292	0
293	0
294	0
295	1
296	0
297	1
298	1
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	1
314	1
315	0
316	0
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
